                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.3325,                 3.8042,                 4.1147,                0.00484,                0.17395,                0.03924,                0.02494,                 3.3164,                 3.4735,                 4.0871,             0.00026664,             0.00026664,             0.00026664
                      2,                 2.8743,                 2.3348,                  3.612,                0.00425,                0.17395,                0.12058,                0.04167,                 3.0322,                 2.4052,                 3.7712,              0.0005408,              0.0005408,              0.0005408
                      3,                 2.2961,                 1.8361,                 3.0998,                0.59063,                   0.15,                0.15214,                0.06956,                 2.5369,                 5.4016,                 2.9477,             0.00081129,             0.00081129,             0.00081129
                      4,                 1.9391,                 1.5126,                  2.682,                0.92445,                0.14828,                 0.1509,                0.07908,                  2.467,                 4.6477,                 3.2353,              0.0010781,              0.0010781,              0.0010781
                      5,                 1.6291,                  1.363,                 2.2879,                0.76873,                 0.1431,                 0.1533,                  0.104,                 1.9018,                 2.5905,                 2.4573,              0.0010817,              0.0010817,              0.0010817
                      6,                 1.4329,                 1.1935,                 2.0752,                0.78139,                   0.15,                0.15731,                0.12135,                 1.6179,                 2.5703,                 2.3126,              0.0010743,              0.0010743,              0.0010743
                      7,                 1.3384,                 1.1513,                 1.9615,                0.78925,                0.15174,                0.16692,                0.11715,                 1.4828,                 1.5075,                 2.0649,               0.001067,               0.001067,               0.001067
                      8,                 1.1588,                 1.0531,                  1.805,                0.79361,                0.15675,                0.17107,                 0.1308,                 1.4996,                 1.4147,                 1.9325,              0.0010597,              0.0010597,              0.0010597
                      9,                 1.0977,                0.98038,                 1.7242,                0.78735,                0.15319,                0.16835,                0.13145,                  1.284,                 1.2777,                 1.7895,              0.0010523,              0.0010523,              0.0010523
                     10,                 1.0216,                0.95021,                 1.6399,                0.78316,                0.16379,                  0.177,                0.14514,                 1.2099,                 1.0699,                 1.6532,               0.001045,               0.001045,               0.001045
                     11,                0.99858,                  0.928,                 1.6176,                 0.7887,                0.16897,                0.17993,                0.14409,                 1.2454,                  1.165,                 1.6688,              0.0010377,              0.0010377,              0.0010377
                     12,                0.92774,                0.86521,                   1.54,                0.79379,                 0.1615,                0.18339,                0.14882,                 1.1044,                 1.0003,                 1.5415,              0.0010303,              0.0010303,              0.0010303
                     13,                0.90937,                0.83781,                 1.4952,                0.78943,                0.16552,                0.18495,                0.15264,                 1.0576,                  1.052,                 1.4772,               0.001023,               0.001023,               0.001023
                     14,                0.92194,                0.84833,                 1.4831,                0.60346,                0.18897,                0.19059,                0.14862,                 1.0343,                 0.9396,                 1.4607,              0.0010157,              0.0010157,              0.0010157
                     15,                 0.8975,                0.83061,                 1.4528,                 0.8304,                0.17697,                0.19356,                0.14298,                 1.1925,                 1.0452,                 1.5605,              0.0010083,              0.0010083,              0.0010083
                     16,                 0.8861,                0.83014,                 1.4257,                0.81549,                0.18897,                0.20115,                0.15697,                 1.0305,                 1.0675,                 1.4152,               0.001001,               0.001001,               0.001001
                     17,                 0.8523,                0.81902,                 1.3883,                 0.4847,                0.24139,                0.22115,                 0.1654,                 1.0631,                0.92202,                 1.3976,             0.00099368,             0.00099368,             0.00099368
                     18,                0.85606,                0.78513,                 1.3742,                0.80819,                0.20555,                0.21217,                0.17034,                 1.1226,                0.99197,                  1.402,             0.00098635,             0.00098635,             0.00098635
                     19,                0.87479,                0.81803,                 1.3642,                0.80447,                0.19213,                0.19948,                 0.1596,                 1.1298,                0.95262,                 1.4059,             0.00097901,             0.00097901,             0.00097901
                     20,                0.87058,                0.79569,                 1.3564,                0.80575,                0.19884,                0.22794,                 0.1672,                 1.0552,                0.95761,                 1.3516,             0.00097168,             0.00097168,             0.00097168
                     21,                0.87795,                0.80109,                 1.3455,                 0.6224,                 0.2451,                0.23829,                0.16919,                 1.0646,                0.93451,                 1.3703,             0.00096435,             0.00096435,             0.00096435
                     22,                0.88129,                0.77496,                 1.3415,                0.64779,                0.26389,                0.23215,                0.16991,                 1.2346,                 1.0318,                 1.3585,             0.00095702,             0.00095702,             0.00095702
                     23,                0.88957,                0.79231,                 1.3198,                0.68216,                0.23994,                 0.2283,                0.17275,                 1.1704,                 1.0443,                  1.392,             0.00094968,             0.00094968,             0.00094968
                     24,                 0.8776,                0.78677,                 1.3116,                0.56137,                0.25121,                0.24171,                 0.1731,                 1.1455,                0.86338,                 1.3321,             0.00094235,             0.00094235,             0.00094235
                     25,                0.85196,                0.75884,                 1.2802,                0.40664,                0.23702,                0.22582,                0.17409,                 1.1586,                0.92508,                 1.3305,             0.00093502,             0.00093502,             0.00093502
                     26,                0.87121,                0.78097,                 1.2859,                0.57681,                0.25254,                0.24265,                0.17898,                 1.1982,                0.97697,                 1.3095,             0.00092769,             0.00092769,             0.00092769
                     27,                 0.8621,                0.77257,                 1.2644,                0.58863,                0.28626,                0.25608,                0.18482,                 1.1526,                0.89511,                 1.3119,             0.00092035,             0.00092035,             0.00092035
                     28,                0.85548,                0.75165,                 1.2543,                0.63838,                 0.2733,                0.25942,                 0.1806,                 1.1172,                0.86875,                 1.2937,             0.00091302,             0.00091302,             0.00091302
                     29,                0.88025,                0.76136,                 1.2749,                0.63078,                0.26936,                0.26126,                0.18045,                 1.1392,                0.81684,                 1.3138,             0.00090569,             0.00090569,             0.00090569
                     30,                0.86994,                0.75293,                 1.2441,                0.65705,                  0.284,                 0.2626,                0.19264,                 1.1392,                0.90601,                 1.2601,             0.00089835,             0.00089835,             0.00089835
                     31,                0.90878,                0.77866,                 1.2659,                0.64058,                0.28243,                0.26562,                0.19151,                 1.0948,                0.88606,                  1.268,             0.00089102,             0.00089102,             0.00089102
                     32,                0.88179,                 0.7541,                 1.2425,                0.57486,                 0.3135,                0.29117,                0.19575,                 1.1303,                0.87544,                 1.2841,             0.00088369,             0.00088369,             0.00088369
                     33,                0.88261,                0.75041,                 1.2421,                0.63617,                0.28377,                0.24722,                0.18705,                 1.1912,                0.82481,                 1.3052,             0.00087636,             0.00087636,             0.00087636
                     34,                0.88762,                0.75422,                 1.2264,                0.50454,                0.28164,                 0.2582,                0.18793,                 1.1966,                0.97536,                 1.2675,             0.00086902,             0.00086902,             0.00086902
                     35,                0.89624,                0.77005,                  1.236,                0.51568,                0.29528,                0.26839,                0.18752,                 1.2251,                0.89761,                 1.2716,             0.00086169,             0.00086169,             0.00086169
                     36,                0.88816,                0.74466,                 1.2295,                0.60238,                 0.2905,                0.26649,                0.19373,                 1.1332,                0.85755,                 1.2869,             0.00085436,             0.00085436,             0.00085436
                     37,                0.85218,                0.74117,                 1.2098,                0.57837,                0.27237,                0.26107,                0.19514,                 1.1094,                0.84503,                 1.2674,             0.00084703,             0.00084703,             0.00084703
                     38,                0.86333,                0.73535,                 1.2208,                0.49425,                0.28238,                0.25826,                0.18569,                 1.2498,                0.89886,                  1.285,             0.00083969,             0.00083969,             0.00083969
                     39,                0.87269,                0.72441,                 1.2193,                0.58489,                0.30061,                0.28196,                0.20221,                 1.1534,                0.89183,                 1.2606,             0.00083236,             0.00083236,             0.00083236
                     40,                0.87101,                0.72153,                 1.2125,                0.59349,                0.31237,                0.30115,                0.20307,                 1.2087,                0.91814,                 1.2656,             0.00082503,             0.00082503,             0.00082503
                     41,                0.86486,                0.72618,                  1.202,                0.58327,                0.32731,                0.29578,                0.21613,                 1.2308,                0.85743,                 1.2752,              0.0008177,              0.0008177,              0.0008177
                     42,                0.88003,                0.73749,                 1.2029,                0.60218,                0.32353,                0.29673,                0.20218,                 1.2123,                 0.8834,                 1.2607,             0.00081036,             0.00081036,             0.00081036
                     43,                0.87766,                0.71729,                  1.192,                0.65598,                0.30261,                0.31234,                0.22202,                 1.1164,                0.82768,                 1.2214,             0.00080303,             0.00080303,             0.00080303
                     44,                0.87452,                0.71519,                 1.1965,                0.56184,                0.30663,                0.29486,                0.21007,                 1.1676,                0.87229,                 1.2608,              0.0007957,              0.0007957,              0.0007957
                     45,                 0.8715,                0.72007,                 1.1903,                0.55609,                0.35152,                0.30409,                0.20981,                  1.132,                0.85069,                 1.2298,             0.00078837,             0.00078837,             0.00078837
                     46,                0.87306,                0.71667,                 1.1879,                0.58197,                0.37737,                0.33352,                0.22286,                 1.2113,                0.85244,                 1.2417,             0.00078103,             0.00078103,             0.00078103
                     47,                0.87581,                0.71031,                 1.1975,                0.57032,                0.32314,                 0.3093,                0.20819,                 1.1595,                  1.003,                 1.2495,              0.0007737,              0.0007737,              0.0007737
                     48,                0.85732,                0.69271,                 1.1816,                 0.6739,                0.36655,                0.34947,                0.23751,                 1.1624,                0.83946,                 1.2217,             0.00076637,             0.00076637,             0.00076637
                     49,                0.84769,                0.69587,                 1.1684,                0.57978,                0.34677,                0.30945,                0.22016,                  1.136,                0.83284,                 1.2134,             0.00075904,             0.00075904,             0.00075904
                     50,                0.85456,                 0.7037,                 1.1655,                0.59869,                0.32828,                0.32841,                0.22391,                 1.2133,                0.86961,                 1.2384,              0.0007517,              0.0007517,              0.0007517
                     51,                0.85403,                0.69538,                   1.16,                 0.6581,                0.36826,                0.36005,                0.23647,                  1.191,                0.83983,                  1.232,             0.00074437,             0.00074437,             0.00074437
                     52,                0.84702,                0.70957,                 1.1628,                0.62977,                0.34838,                0.34795,                0.23588,                 1.1728,                0.86118,                 1.2389,             0.00073704,             0.00073704,             0.00073704
                     53,                0.85263,                 0.7012,                 1.1613,                0.65131,                0.34719,                0.33436,                0.22892,                 1.2166,                0.87499,                 1.2191,              0.0007297,              0.0007297,              0.0007297
                     54,                0.87028,                0.68875,                  1.159,                0.70487,                0.36312,                 0.3561,                0.22842,                 1.2099,                0.84361,                 1.2279,             0.00072237,             0.00072237,             0.00072237
                     55,                0.84006,                 0.6805,                  1.154,                0.61733,                0.34214,                0.33026,                0.22323,                  1.222,                0.89155,                 1.2479,             0.00071504,             0.00071504,             0.00071504
                     56,                0.87721,                0.70466,                 1.1643,                0.58424,                0.35776,                0.32629,                0.22389,                 1.1706,                 0.8068,                 1.2397,             0.00070771,             0.00070771,             0.00070771
                     57,                0.86196,                0.67868,                  1.171,                0.64942,                0.38093,                0.36055,                0.23771,                 1.1476,                0.79628,                 1.2118,             0.00070037,             0.00070037,             0.00070037
                     58,                0.86176,                0.69453,                  1.161,                0.56759,                0.37792,                0.33076,                0.23587,                 1.1765,                0.86482,                 1.2103,             0.00069304,             0.00069304,             0.00069304
                     59,                0.86118,                0.69663,                 1.1508,                0.55515,                0.33521,                0.31695,                0.21755,                 1.2231,                0.97671,                 1.2347,             0.00068571,             0.00068571,             0.00068571
                     60,                0.86043,                0.69682,                 1.1595,                0.60855,                0.35978,                0.35447,                0.23553,                 1.1897,                0.87174,                 1.2042,             0.00067838,             0.00067838,             0.00067838
                     61,                  0.841,                0.69701,                 1.1416,                0.57137,                0.35937,                0.34655,                0.23412,                 1.2063,                0.84858,                 1.2147,             0.00067104,             0.00067104,             0.00067104
                     62,                0.86711,                 0.6873,                  1.151,                0.63133,                0.36575,                0.35021,                0.23507,                 1.2391,                0.88061,                 1.2267,             0.00066371,             0.00066371,             0.00066371
                     63,                0.86893,                0.68985,                  1.159,                0.60202,                0.37283,                0.35634,                0.24447,                 1.1963,                0.84507,                 1.2024,             0.00065638,             0.00065638,             0.00065638
