                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 6.2852,                 8.5019,                   8.25,                0.09463,                 0.1705,                0.15434,                0.06373,                 6.4572,                 9.0957,                 8.0437,             0.00036533,             0.00036533,             0.00036533
                      2,                 5.4149,                 6.2415,                 7.1593,                0.00197,                0.19368,                0.00427,                0.00152,                 5.7286,                 6.3436,                 7.6349,             0.00073081,             0.00073081,             0.00073081
                      3,                 4.3327,                 4.6492,                 5.8104,                0.22996,                0.03793,                0.02507,                0.01345,                 4.5001,                 5.1379,                  5.966,              0.0010914,              0.0010914,              0.0010914
                      4,                 3.7571,                 3.7646,                 4.9889,                0.53488,                0.10357,                0.12092,                0.08255,                 3.3515,                 3.7445,                 4.6444,               0.001089,               0.001089,               0.001089
                      5,                 3.3476,                   3.23,                 4.4671,                0.71706,                0.13103,                0.12641,                0.09795,                 3.1523,                 3.1176,                 4.3003,              0.0010817,              0.0010817,              0.0010817
                      6,                 3.2186,                 3.0816,                 4.2035,                0.74949,                0.13276,                0.14596,                0.11815,                 3.0695,                 3.1044,                 3.9692,              0.0010743,              0.0010743,              0.0010743
                      7,                 3.1332,                 2.9893,                 3.9607,                 0.7576,                0.14483,                0.15303,                0.13173,                 3.0379,                 3.2149,                 3.7973,               0.001067,               0.001067,               0.001067
                      8,                 3.0189,                 2.8428,                 3.6639,                0.75679,                0.14828,                0.15951,                0.13598,                 3.0478,                 3.1426,                 3.6629,              0.0010597,              0.0010597,              0.0010597
                      9,                 3.0326,                 2.8333,                 3.5229,                0.78149,                0.14138,                0.16874,                0.14434,                 3.1226,                 3.1126,                 3.4717,              0.0010523,              0.0010523,              0.0010523
                     10,                 2.9221,                 2.7815,                 3.3564,                  0.617,                0.16662,                0.17736,                0.14398,                 3.4113,                 3.0687,                 3.4238,               0.001045,               0.001045,               0.001045
                     11,                 2.9914,                 2.7856,                 3.2783,                0.44221,                0.19682,                0.20667,                0.15755,                 3.2087,                 2.9846,                 3.2379,              0.0010377,              0.0010377,              0.0010377
                     12,                 2.9887,                 2.8062,                 3.1648,                0.45702,                0.18232,                0.19308,                0.15371,                  3.277,                 3.0892,                 3.2672,              0.0010303,              0.0010303,              0.0010303
                     13,                 2.9503,                 2.6409,                 3.0395,                0.55198,                0.21066,                0.20945,                0.15785,                 3.4832,                 3.0298,                 3.1252,               0.001023,               0.001023,               0.001023
                     14,                 3.0801,                 2.7915,                  3.019,                0.45691,                0.22255,                0.21163,                0.16315,                 3.4161,                 2.9981,                 3.1011,              0.0010157,              0.0010157,              0.0010157
                     15,                 3.0146,                 2.6995,                 2.9299,                0.44938,                0.22622,                0.21561,                0.16574,                 3.5967,                 3.0329,                 2.9736,              0.0010083,              0.0010083,              0.0010083
                     16,                 3.0279,                 2.6782,                 2.8795,                0.46345,                0.19953,                0.21571,                0.16499,                 3.4898,                 2.9222,                 2.9337,               0.001001,               0.001001,               0.001001
                     17,                 3.0281,                 2.6904,                 2.8371,                0.43614,                0.23283,                0.21222,                0.16143,                 3.5419,                 3.0444,                 2.8554,             0.00099368,             0.00099368,             0.00099368
                     18,                 3.0872,                 2.7347,                  2.789,                0.42375,                 0.2043,                0.21878,                0.16399,                 3.4776,                 2.9994,                 2.9285,             0.00098635,             0.00098635,             0.00098635
                     19,                 3.0608,                 2.7149,                 2.7432,                0.48705,                0.21705,                0.21897,                0.16265,                 3.6938,                 3.2524,                 2.8665,             0.00097901,             0.00097901,             0.00097901
                     20,                 2.9983,                 2.7401,                 2.7358,                0.50619,                0.24653,                0.23842,                0.17731,                 3.5454,                 3.0447,                 2.8245,             0.00097168,             0.00097168,             0.00097168
                     21,                 3.0139,                 2.6717,                 2.7017,                0.65014,                0.26612,                0.23005,                  0.173,                  3.528,                 2.9423,                  2.771,             0.00096435,             0.00096435,             0.00096435
                     22,                 2.9061,                 2.5783,                 2.6369,                0.53764,                0.24863,                0.24947,                0.17792,                 3.5669,                 2.9564,                 2.7734,             0.00095702,             0.00095702,             0.00095702
                     23,                 3.0372,                 2.6702,                 2.6355,                0.51851,                0.24938,                0.25369,                0.18283,                 3.6055,                 3.0005,                 2.7178,             0.00094968,             0.00094968,             0.00094968
                     24,                 2.9488,                 2.5691,                 2.5877,                0.66183,                0.30292,                0.26305,                 0.1841,                  3.578,                 2.9488,                 2.7072,             0.00094235,             0.00094235,             0.00094235
                     25,                 2.9356,                 2.6218,                 2.6203,                0.67351,                0.30217,                0.26975,                0.18054,                 3.4451,                 2.8989,                 2.6868,             0.00093502,             0.00093502,             0.00093502
                     26,                 2.9725,                 2.5976,                 2.5894,                0.57938,                0.26715,                0.26936,                0.18336,                 3.5605,                 3.0149,                 2.6875,             0.00092769,             0.00092769,             0.00092769
                     27,                 2.9798,                 2.5464,                 2.5774,                0.67272,                0.30611,                0.28989,                0.19934,                 3.4757,                   2.87,                 2.6455,             0.00092035,             0.00092035,             0.00092035
                     28,                 2.9507,                 2.5389,                 2.5371,                 0.5398,                0.28617,                0.27585,                0.18382,                 3.5278,                 2.8618,                 2.6633,             0.00091302,             0.00091302,             0.00091302
                     29,                 2.9461,                 2.5444,                  2.537,                0.51501,                0.31016,                0.29254,                0.19321,                  3.522,                 2.8266,                 2.6396,             0.00090569,             0.00090569,             0.00090569
                     30,                 2.9341,                 2.5629,                 2.5227,                0.52335,                0.30586,                0.29277,                0.19711,                 3.5285,                 2.8921,                 2.6411,             0.00089835,             0.00089835,             0.00089835
                     31,                 2.9371,                 2.5175,                 2.5007,                0.61166,                0.31553,                0.30618,                0.19395,                 3.4551,                 2.8866,                 2.6111,             0.00089102,             0.00089102,             0.00089102
                     32,                 2.9446,                 2.4899,                 2.5031,                  0.593,                0.33241,                0.30666,                0.19991,                 3.4494,                 2.8145,                 2.5509,             0.00088369,             0.00088369,             0.00088369
                     33,                 2.9408,                 2.4872,                 2.4896,                0.55671,                0.37928,                0.31089,                0.20089,                 3.4619,                 2.8043,                 2.5983,             0.00087636,             0.00087636,             0.00087636
                     34,                 2.9056,                 2.4985,                 2.4673,                 0.6658,                0.31861,                0.30547,                0.20059,                 3.4451,                 2.8801,                 2.5775,             0.00086902,             0.00086902,             0.00086902
                     35,                 2.9368,                 2.5378,                 2.5078,                0.61407,                0.32774,                0.31688,                0.20122,                 3.4593,                 2.8178,                 2.5827,             0.00086169,             0.00086169,             0.00086169
                     36,                 2.8991,                  2.475,                  2.465,                0.56901,                0.33769,                0.31991,                0.20926,                 3.3659,                 2.8131,                 2.5567,             0.00085436,             0.00085436,             0.00085436
                     37,                 2.8303,                 2.4235,                 2.4406,                0.60168,                 0.3187,                0.31007,                0.19964,                 3.4578,                 2.8999,                 2.5691,             0.00084703,             0.00084703,             0.00084703
                     38,                 2.8684,                 2.4415,                 2.4517,                0.57796,                 0.3032,                0.31063,                0.19928,                 3.4186,                 2.8229,                 2.5914,             0.00083969,             0.00083969,             0.00083969
                     39,                 2.7692,                 2.4148,                 2.3952,                0.56353,                0.32299,                0.31268,                 0.2083,                 3.4404,                 2.7955,                 2.5503,             0.00083236,             0.00083236,             0.00083236
                     40,                 2.8544,                 2.4183,                 2.4177,                0.51006,                0.27266,                0.28349,                0.19769,                 3.4298,                 3.0297,                 2.6264,             0.00082503,             0.00082503,             0.00082503
                     41,                 2.8349,                 2.3841,                 2.4029,                 0.6016,                0.34683,                0.31065,                0.21359,                 3.4133,                 2.7973,                 2.5442,              0.0008177,              0.0008177,              0.0008177
                     42,                 2.8601,                 2.4038,                 2.3823,                0.63183,                0.36575,                0.35141,                0.22887,                 3.3677,                 2.7665,                 2.4999,             0.00081036,             0.00081036,             0.00081036
                     43,                 2.8716,                 2.4628,                  2.419,                0.58584,                0.35713,                0.34672,                 0.2223,                 3.3867,                 2.7184,                 2.5561,             0.00080303,             0.00080303,             0.00080303
                     44,                 2.8273,                 2.3531,                 2.3993,                0.62176,                0.35425,                0.33809,                0.22041,                 3.4268,                 2.7636,                  2.577,              0.0007957,              0.0007957,              0.0007957
                     45,                 2.8251,                  2.348,                 2.3676,                0.62893,                0.32593,                 0.3185,                0.20788,                 3.4216,                 2.8244,                 2.5974,             0.00078837,             0.00078837,             0.00078837
                     46,                 2.8046,                 2.3168,                 2.3654,                0.62391,                0.37213,                0.36823,                0.22789,                 3.4267,                 2.7564,                  2.503,             0.00078103,             0.00078103,             0.00078103
                     47,                 2.7403,                 2.3154,                 2.3616,                 0.6223,                0.38091,                0.36571,                0.23854,                 3.4519,                 2.7618,                 2.5618,              0.0007737,              0.0007737,              0.0007737
                     48,                 2.8214,                 2.3232,                  2.366,                0.61147,                0.37351,                  0.368,                 0.2335,                 3.4729,                 2.6825,                 2.5331,             0.00076637,             0.00076637,             0.00076637
                     49,                 2.7559,                  2.278,                 2.3551,                0.59341,                0.38213,                0.37391,                0.24426,                 3.3678,                 2.7478,                 2.5287,             0.00075904,             0.00075904,             0.00075904
                     50,                 2.7995,                 2.2753,                 2.3451,                0.69517,                0.37049,                0.37741,                0.24325,                 3.3654,                 2.6921,                 2.5277,              0.0007517,              0.0007517,              0.0007517
                     51,                 2.7681,                 2.3134,                 2.3479,                0.67467,                0.37797,                0.37628,                0.24789,                 3.3289,                 2.6821,                 2.5099,             0.00074437,             0.00074437,             0.00074437
                     52,                 2.7572,                 2.2748,                  2.339,                0.65829,                0.38638,                0.36777,                0.23739,                 3.3315,                 2.6904,                 2.4907,             0.00073704,             0.00073704,             0.00073704
                     53,                 2.7485,                 2.3164,                 2.3452,                0.62297,                0.39409,                0.39445,                0.25457,                 3.3409,                 2.6465,                 2.4993,              0.0007297,              0.0007297,              0.0007297
                     54,                  2.743,                 2.2834,                 2.3601,                0.56823,                0.37442,                0.36695,                0.25194,                 3.3511,                 2.6818,                 2.5133,             0.00072237,             0.00072237,             0.00072237
                     55,                 2.7716,                 2.3069,                 2.3351,                0.64112,                0.36039,                0.36951,                0.24631,                 3.3779,                 2.7101,                 2.5318,             0.00071504,             0.00071504,             0.00071504
                     56,                 2.7744,                 2.2768,                 2.3289,                0.59872,                0.39593,                0.37698,                0.24378,                 3.3225,                 2.7358,                 2.4719,             0.00070771,             0.00070771,             0.00070771
                     57,                 2.7453,                 2.2823,                 2.3189,                0.63218,                0.39448,                0.40323,                0.25367,                 3.3222,                 2.6386,                 2.4834,             0.00070037,             0.00070037,             0.00070037
                     58,                 2.7269,                  2.267,                 2.3247,                0.63053,                0.37626,                0.38383,                0.24883,                 3.3713,                 2.6879,                 2.5105,             0.00069304,             0.00069304,             0.00069304
                     59,                 2.7408,                 2.2548,                 2.3049,                0.62443,                0.40178,                0.40667,                0.25472,                 3.3367,                 2.6887,                 2.4888,             0.00068571,             0.00068571,             0.00068571
                     60,                 2.7372,                 2.2317,                 2.2998,                0.62288,                0.40591,                0.41503,                0.26147,                 3.3839,                 2.6244,                 2.5073,             0.00067838,             0.00067838,             0.00067838
                     61,                 2.7461,                 2.2614,                 2.2985,                0.57078,                0.38937,                0.37502,                 0.2349,                 3.3416,                 2.6479,                 2.4857,             0.00067104,             0.00067104,             0.00067104
                     62,                 2.6845,                 2.2079,                 2.2983,                0.61903,                0.40428,                0.41446,                0.26147,                 3.3675,                 2.6398,                 2.5109,             0.00066371,             0.00066371,             0.00066371
                     63,                 2.6919,                 2.2237,                 2.3045,                0.61462,                0.40533,                0.39691,                0.25088,                   3.34,                 2.6896,                 2.4882,             0.00065638,             0.00065638,             0.00065638
                     64,                 2.6699,                 2.2069,                 2.3085,                0.64371,                0.40276,                0.40086,                 0.2597,                 3.2942,                 2.6077,                 2.4563,             0.00064905,             0.00064905,             0.00064905
                     65,                 2.7015,                 2.2161,                  2.315,                0.67163,                 0.3904,                0.40382,                0.25528,                 3.3542,                 2.6475,                 2.4941,             0.00064171,             0.00064171,             0.00064171
                     66,                 2.7335,                 2.2126,                 2.2777,                0.65447,                0.37755,                0.41102,                0.25107,                 3.3293,                 2.6861,                 2.4912,             0.00063438,             0.00063438,             0.00063438
                     67,                 2.7383,                 2.2079,                 2.2998,                0.66289,                0.39072,                0.41855,                0.26179,                 3.3369,                 2.6401,                 2.4726,             0.00062705,             0.00062705,             0.00062705
                     68,                 2.6997,                 2.1907,                 2.3063,                0.57614,                0.42408,                0.39688,                0.25139,                 3.3059,                 2.6435,                 2.4894,             0.00061972,             0.00061972,             0.00061972
                     69,                 2.7221,                  2.217,                 2.2999,                0.61011,                 0.4305,                0.40764,                0.25243,                 3.3251,                 2.6684,                 2.4724,             0.00061238,             0.00061238,             0.00061238
                     70,                 2.6772,                  2.182,                 2.3034,                0.64661,                0.45471,                0.40808,                0.25449,                 3.3088,                 2.6895,                 2.4531,             0.00060505,             0.00060505,             0.00060505
