                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.2492,                 3.3927,                 4.0508,                0.00265,                0.18851,                 0.0661,                0.01379,                  3.153,                 3.0701,                 4.0015,             0.00036228,             0.00036228,             0.00036228
                      2,                 2.6326,                 2.2831,                 3.4199,                0.29668,                0.15172,                0.14864,                0.09492,                 5.7458,                 9.1447,                 220.39,             0.00072778,             0.00072778,             0.00072778
                      3,                 2.1776,                 1.8666,                 2.8995,                0.00448,                0.11284,                 0.0042,                0.00079,                 4.5242,                 4.5062,                 4.8983,              0.0010884,              0.0010884,              0.0010884
                      4,                 1.9471,                 1.7036,                    2.6,                0.78367,                0.14483,                0.15018,                0.09746,                 1.9461,                 2.8106,                 2.9377,               0.001089,               0.001089,               0.001089
                      5,                 1.6811,                 1.4663,                  2.316,                0.77836,                0.14138,                0.14906,                0.09802,                 1.8893,                 2.0353,                 2.8663,              0.0010817,              0.0010817,              0.0010817
                      6,                 1.5269,                 1.3476,                 2.1523,                0.77277,                0.13793,                0.14611,                0.10503,                 1.8439,                 1.7971,                 2.3407,              0.0010743,              0.0010743,              0.0010743
                      7,                 1.4509,                 1.3271,                 2.0263,                0.79538,                0.15345,                 0.1629,                0.13369,                 1.4778,                 1.5459,                 1.9756,               0.001067,               0.001067,               0.001067
                      8,                 1.2808,                 1.1679,                 1.8693,                0.79229,                0.14655,                  0.163,                0.13435,                 1.4235,                 1.4145,                 1.9144,              0.0010597,              0.0010597,              0.0010597
                      9,                 1.1847,                 1.1447,                 1.7769,                0.79338,                  0.151,                0.17374,                0.13847,                 1.3353,                 1.2967,                 1.8687,              0.0010523,              0.0010523,              0.0010523
                     10,                 1.1743,                  1.075,                 1.7259,                0.38713,                0.16982,                 0.1769,                0.13857,                 1.3265,                 1.2546,                 1.8036,               0.001045,               0.001045,               0.001045
                     11,                 1.1033,                  1.022,                 1.6508,                0.43811,                0.17979,                0.18915,                0.14087,                 1.2956,                   1.22,                 1.7327,              0.0010377,              0.0010377,              0.0010377
                     12,                 1.0893,                 1.0383,                 1.6002,                0.79129,                0.16207,                0.18507,                0.14729,                 1.1744,                 1.1082,                 1.6101,              0.0010303,              0.0010303,              0.0010303
                     13,                 1.0874,                 1.0083,                 1.5751,                0.45333,                 0.1967,                0.20458,                0.15178,                 1.2718,                 1.1249,                 1.6324,               0.001023,               0.001023,               0.001023
                     14,                 1.0535,                0.99482,                 1.5285,                0.63068,                0.22464,                0.20143,                0.15182,                 1.3047,                 1.1576,                 1.5938,              0.0010157,              0.0010157,              0.0010157
                     15,                 1.0644,                0.99835,                 1.4956,                0.69294,                0.23163,                0.21615,                 0.1565,                 1.2855,                 1.0994,                 1.5514,              0.0010083,              0.0010083,              0.0010083
                     16,                  1.046,                 0.9629,                 1.4435,                 0.7014,                 0.2359,                0.24016,                0.16776,                 1.3928,                 1.1499,                 1.5491,               0.001001,               0.001001,               0.001001
                     17,                 1.0355,                0.96332,                 1.4258,                0.44777,                0.22254,                0.21095,                0.15544,                 1.3595,                 1.1592,                 1.5496,             0.00099368,             0.00099368,             0.00099368
                     18,                  1.054,                0.95137,                 1.4146,                0.64235,                0.24422,                0.22845,                0.16321,                 1.4982,                 1.2618,                 1.6365,             0.00098635,             0.00098635,             0.00098635
                     19,                 1.0839,                0.96062,                 1.4055,                0.67291,                0.25838,                0.22633,                0.16349,                 1.3695,                 1.1274,                 1.4697,             0.00097901,             0.00097901,             0.00097901
                     20,                 1.0493,                0.96686,                 1.3905,                0.45771,                0.23002,                0.22903,                0.16769,                  1.283,                 1.1239,                  1.441,             0.00097168,             0.00097168,             0.00097168
                     21,                 1.0778,                0.96297,                 1.3868,                0.63281,                0.28504,                0.22979,                0.16914,                 1.3591,                 1.0822,                 1.4624,             0.00096435,             0.00096435,             0.00096435
                     22,                 1.0413,                  0.937,                 1.3623,                0.62597,                 0.2729,                0.23766,                0.16801,                 1.3252,                  1.122,                 1.3995,             0.00095702,             0.00095702,             0.00095702
                     23,                 1.0908,                0.95437,                 1.3596,                0.61425,                0.29253,                 0.2649,                0.18393,                 1.3631,                  1.078,                 1.3998,             0.00094968,             0.00094968,             0.00094968
                     24,                 1.0727,                 0.9398,                 1.3507,                0.59295,                0.29726,                0.26899,                0.18358,                 1.3822,                 1.2222,                 1.4169,             0.00094235,             0.00094235,             0.00094235
                     25,                 1.0759,                0.94213,                 1.3347,                0.55963,                 0.2636,                0.25597,                0.18475,                 1.2986,                  1.105,                 1.4341,             0.00093502,             0.00093502,             0.00093502
                     26,                 1.0647,                0.93166,                 1.3249,                0.52673,                0.30954,                0.27992,                0.18056,                 1.4136,                 1.0883,                 1.4267,             0.00092769,             0.00092769,             0.00092769
                     27,                 1.0166,                0.90697,                 1.2985,                0.48806,                0.27935,                0.26095,                0.17746,                 1.3645,                 1.0889,                 1.4089,             0.00092035,             0.00092035,             0.00092035
                     28,                 1.0081,                0.91463,                 1.2839,                0.62204,                0.26979,                0.26546,                0.18447,                 1.3362,                 1.0909,                 1.3834,             0.00091302,             0.00091302,             0.00091302
                     29,                 1.0575,                0.90084,                 1.3135,                0.58175,                0.27865,                0.27281,                0.19239,                  1.352,                 1.0367,                 1.3321,             0.00090569,             0.00090569,             0.00090569
                     30,                 1.0322,                0.89721,                 1.2899,                0.58247,                0.33084,                 0.3005,                0.19749,                 1.3764,                 1.0413,                 1.3637,             0.00089835,             0.00089835,             0.00089835
                     31,                 1.0462,                0.90015,                 1.2882,                0.54487,                  0.318,                0.26561,                0.18608,                 1.3015,                 1.0433,                 1.3324,             0.00089102,             0.00089102,             0.00089102
                     32,                 1.0604,                0.91176,                 1.2855,                0.59714,                0.30744,                0.28565,                0.18441,                 1.4275,                 1.0298,                  1.374,             0.00088369,             0.00088369,             0.00088369
                     33,                 1.0185,                0.88622,                 1.2594,                0.56625,                0.32216,                0.30935,                0.20545,                 1.3524,                 1.0549,                 1.3378,             0.00087636,             0.00087636,             0.00087636
                     34,                 1.0214,                0.86853,                 1.2553,                0.59638,                0.34758,                0.31921,                0.20198,                 1.3636,                0.99246,                   1.33,             0.00086902,             0.00086902,             0.00086902
                     35,                 1.0309,                0.89873,                 1.2669,                0.62658,                0.36211,                0.33184,                0.21538,                 1.3424,                0.99593,                 1.3261,             0.00086169,             0.00086169,             0.00086169
                     36,                 1.0256,                0.86116,                 1.2519,                0.69002,                0.34141,                0.33587,                0.21111,                 1.2985,                 1.0235,                 1.3071,             0.00085436,             0.00085436,             0.00085436
                     37,                 1.0207,                0.86184,                 1.2411,                0.72469,                0.31832,                0.31317,                0.19456,                 1.3321,                 1.1093,                 1.3733,             0.00084703,             0.00084703,             0.00084703
                     38,                  1.049,                0.89924,                 1.2557,                0.68117,                0.35659,                0.33483,                0.20873,                 1.3138,                0.97433,                 1.3004,             0.00083969,             0.00083969,             0.00083969
                     39,                 1.0303,                0.86311,                 1.2537,                0.64701,                0.34111,                0.32143,                0.20625,                 1.3168,                0.97167,                 1.3279,             0.00083236,             0.00083236,             0.00083236
                     40,                 1.0413,                0.87459,                 1.2559,                0.60458,                0.34178,                0.32719,                0.21146,                 1.3481,                0.97473,                 1.3275,             0.00082503,             0.00082503,             0.00082503
                     41,                 1.0303,                  0.879,                 1.2298,                0.60276,                0.35196,                0.32387,                0.20909,                  1.335,                 1.0036,                 1.3134,              0.0008177,              0.0008177,              0.0008177
                     42,                 1.0474,                0.84473,                 1.2304,                0.58136,                0.32968,                 0.3216,                0.21165,                 1.3413,                 1.0447,                 1.3201,             0.00081036,             0.00081036,             0.00081036
                     43,                 1.0266,                0.84723,                 1.2208,                0.61273,                0.36697,                0.35446,                0.22156,                 1.3259,                0.99726,                 1.2898,             0.00080303,             0.00080303,             0.00080303
                     44,                 1.0482,                0.86864,                 1.2399,                0.69841,                0.35305,                0.34697,                0.21605,                 1.3466,                 1.0204,                 1.3132,              0.0007957,              0.0007957,              0.0007957
                     45,                0.98924,                0.85995,                  1.205,                0.69637,                0.33468,                0.36609,                0.22773,                 1.3207,                0.96798,                 1.3055,             0.00078837,             0.00078837,             0.00078837
                     46,                 1.0233,                 0.8488,                 1.2116,                0.65039,                0.36366,                0.36891,                0.23045,                 1.2797,                0.96503,                  1.272,             0.00078103,             0.00078103,             0.00078103
                     47,                0.99941,                0.81767,                 1.1993,                0.63487,                0.37108,                0.37329,                0.22371,                 1.3222,                0.96267,                 1.3008,              0.0007737,              0.0007737,              0.0007737
